corp,corp_code,securities,sec_code,bank,bank_code,en_caption,category_code
9. Chi phí bán hàng,IS_025,x,,,,(Income statement) Selling expenses,IS_052
,,,,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,IS_007,(Income statement) (Bank) Net profit/(loss) from foreign exchange trading,IS_053
,,,,IV. Lãi /lỗ thuần từ mua bán chứng khoán kinh doanh,IS_008,(Income statement) (Bank) Net profit/(loss) from trading of trading securities,IS_054
,,,,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,IS_009,(Income statement) (Bank) Net profit/(loss) from trading of investment securities,IS_055
,,,,"VII. Thu nhập từ góp vốn, mua cổ phần",IS_013,"(Income statement) (Bank) Income from capital contributions, share purchases",IS_056
10. Chi phí quản lý doanh nghiệp,IS_026,x,,VIII. Chi phí hoạt động,IS_014,(Income statement) Administrative expenses,IS_057
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},IS_030,x,,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,IS_015,(Income statement) Net profit from operating activities,IS_060
,,,,X. Chi phí dự phòng rủi ro tín dụng,IS_016,(Income statement) (Bank) Provision for credit losses,IS_061
12. Thu nhập khác,IS_031,8.1. Thu nhập khác,IS_071,5. Thu nhập từ hoạt động khác,IS_010,(Income statement) Other income,IS_062
13. Chi phí khác,IS_032,8.2. Chi phí khác,IS_072,6. Chi phí hoạt động khác,IS_011,(Income statement) Other expenses,IS_063
14. Lợi nhuận khác(40=31-32),IS_040,Cộng kết quả hoạt động khác,IS_080,VI. Lãi/lỗ thuần từ hoạt động khác,IS_012,(Income statement) Other profit/(loss),IS_070
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),IS_050,IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,IS_090,XI. Tổng lợi nhuận trước thuế,IS_017,(Income statement) Total accounting profit before tax (Gross Income),IS_080
,,9.1. Lợi nhuận đã thực hiện,IS_091,,,(Income statement) (Securities) Realized profit,IS_081
,,9.2. Lợi nhuận chưa thực hiện,IS_092,,,(Income statement) (Securities) Unrealized profit,IS_082
CHI PHÍ THUẾ TNDN,IS_050.1,X. CHI PHÍ THUẾ TNDN,IS_100,XII. Chi phí thuế TNDN,IS_020,(Income statement) Corporate income tax expenses,IS_090
16. Chi phí thuế TNDN hiện hành,IS_051,10.1. Chi phí thuế TNDN hiện hành,IS_100.1,7. Chi phí thuế TNDN hiện hành,IS_018,(Income statement) Current corporate income tax expense,IS_091
17. Chi phí thuế TNDN hoãn lại,IS_052,10.2. Chi phí thuế TNDN hoãn lại,IS_100.2,8. Chi phí thuế TNDN hoãn lại,IS_019,(Income statement) Deferred corporate income tax expense,IS_092
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),IS_060,XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,IS_200,XIII. Lợi nhuận sau thuế,IS_021,(Income statement) Profit after corporate income tax (Net Income),IS_100
,,11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,IS_201,,,(Income statement) (Securities) Profit after tax attributable to owners of the company,IS_101
,,"11.2. Lợi nhuận sau thuế trích các Quỹ dự trữ điều lệ, Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %)",IS_202,,,"(Income statement) (Securities) Profit after tax allocated to statutory reserves, financial reserves, and professional risk reserves as per the company's charter",IS_102
19. Lợi nhuận sau thuế công ty mẹ,IS_061,,,,,(Income statement) Profit after tax attributable to the parent company,IS_103
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,IS_062,11.3. Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát,IS_203,XIV. Lợi ích của cổ đông thiểu số,IS_022,(Income statement) Profit after tax attributable to non-controlling interests,IS_104
,,XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,IS_300,,,(Income statement) (Securities) OTHER COMPREHENSIVE INCOME (LOSS) AFTER TAX,IS_110
,,Tổng thu nhập toàn diện khác,IS_400,,,(Income statement) (Securities) Total comprehensive income,IS_111
,,Thu nhập toàn diện khác phân bổ cho chủ sở hữu,IS_401,,,(Income statement) (Securities) Comprehensive income attributable to owners of the company,IS_112
,,XIII. THU NHẬP THUẦN TRÊN CỔ PHIẾU PHỔ THÔNG,IS_500,,,(Income statement) (Securities) XIII. EARNINGS PER COMMON SHARE,IS_120
21. Lãi cơ bản trên cổ phiếu(*),IS_070,13.1. Lãi cơ bản trên cổ phiếu (Đồng/1 cổ phiếu),IS_501,XV. Lãi cơ bản trên cổ phiếu,IS_023,(Income statement) Basic earnings per share,IS_130
22. Lãi suy giảm trên cổ phiếu (*),IS_071,13.2. Thu nhập pha loãng trên cổ phiếu (Đồng/1 cổ phiếu),IS_502,,,(Income statement) Diluted earnings per share,IS_140
1. Lợi nhuận trước thuế,CF_001,Lợi nhuận trước thuế TNDN,CF_001,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,CF_001,(Cash flow) Profit before tax,CF_001
,,,,3. Thu nhập từ hoạt động dịch vụ nhận được,CF_003,(Cash flow) (Bank) Income from service activities received,CF_002
- Khấu hao TSCĐ và BĐSĐT,CF_002,Khấu hao tài sản cố định,CF_003,,,(Cash flow) Depreciation of fixed assets and investment properties,CF_003
- Các khoản dự phòng,CF_003,Các khoản dự phòng,CF_004,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",CF_006,(Cash flow) Provisions,CF_004
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",CF_004,,,"4. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh(ngoại tệ,vàng bạc,chứng khoán)",CF_004,(Cash flow) Foreign exchange gains/losses due to revaluation of foreign currency monetary items,CF_005
"- Lãi, lỗ từ hoạt động đầu tư",CF_005,Lãi/lỗ hoạt động đầu tư,CF_007,,,(Cash flow) Gains/losses from investment activities,CF_006
- Chi phí lãi vay,CF_006,Chi phí lãi vay,CF_006,2. Chi phí lãi và các chi phí tương tự đã trả,CF_002,(Cash flow) Interest expenses,CF_007
- Các khoản điều chỉnh khác,CF_007,,,5. Thu nhập khác,CF_005,(Cash flow) Other adjustment/ income,CF_008
,,,,"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ(*)",CF_007,"(Cash flow) (Bank) Payments to employees and for administrative, public services",CF_009
,,Dự thu tiền lãi,CF_008,,,(Cash flow) (Securities) Accrued interest income,CF_010
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,CF_008,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,CF_030,B. Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,CF_009,(Cash flow) Profit from business activities before changes in working capital,CF_020
,,,,9. (Tăng)/Giảm các khoản tiền gửi và cho vay các TCTD khác,CF_010,(Cash flow) (Bank) (Increase)/Decrease in deposits and loans to other credit institutions,CF_021
,,,,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,CF_012,(Cash flow) (Bank) (Increase)/Decrease in derivative financial instruments and other financial assets,CF_022
,,,,12. (Tăng)/Giảm các khoản cho vay khách hàng,CF_013,(Cash flow) (Bank) (Increase)/Decrease in loans to customers,CF_023
,,,,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,CF_014,(Cash flow) (Bank) Decrease in provisions for covering losses,CF_024
,,,,14. (Tăng)/Giảm khác về tài sản hoạt động,CF_015,(Cash flow) (Bank) (Increase)/Decrease in other operating assets,CF_025
,,,,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,CF_016,(Cash flow) (Bank) Increase/(Decrease) in government and central bank debts,CF_026
,,,,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",CF_017,(Cash flow) (Bank) Increase/(Decrease) in deposits and loans from credit institutions,CF_027
,,,,17. Tăng/(Giảm) tiền gửi của khách hàng(bao gồm cả kho bạc nhà nước),CF_018,(Cash flow) (Bank) Increase/(Decrease) in customer deposits (including the state treasury),CF_028
,,,,18. Tăng(/Giảm) phát hành giấy tờ có giá(ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),CF_019,(Cash flow) (Bank) Increase/(Decrease) in issuance of valuable papers (excluding those recognized as financial activities),CF_029
,,,,"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",CF_020,"(Cash flow) (Bank) Increase/(Decrease) in grants, investment trusts, loans to risk-bearing credit institutions",CF_030
,,,,20. Tăng/ (Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,CF_021,(Cash flow) (Bank) Increase/(Decrease) in derivative financial instruments and other financial liabilities,CF_031
,,,,21. Tăng/ (Giảm) khác về công nợ hoạt động,CF_022,(Cash flow) (Bank) Increase/(Decrease) in other operating liabilities,CF_032
,,,,22. Chi từ các quỹ của TCTD(*),CF_023,(Cash flow) (Bank) Payments from the funds of credit institutions,CF_033
"- Tăng, giảm các khoản phải thu",CF_009,Tăng/giảm các khoản phải thu khác,CF_039,,,(Cash flow) Increase/decrease in receivables,CF_034
"- Tăng, giảm hàng tồn kho",CF_010,,,,,(Cash flow) Increase/decrease in inventories,CF_035
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",CF_011,,,,,"(Cash flow) Increase/decrease in payables (excluding interest payable, corporate income tax payable)",CF_036
"- Tăng, giảm chi phí trả trước",CF_012,Tăng/giảm chi phí trả trước,CF_042,,,(Cash flow) Increase/decrease in prepaid expenses,CF_037
"- Tăng, giảm chứng khoán kinh doanh",CF_013,,,10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,CF_011,(Cash flow) Increase/decrease in trading securities,CF_038
- Tiền lãi vay đã trả,CF_014,Lãi vay phải trả,CF_044,,,(Cash flow) Interest paid,CF_039
- Thuế thu nhập doanh nghiệp đã nộp,CF_015,Thuế TNDN đã trả,CF_043,8. Tiền thuế thu nhập thực nộp trong kỳ(*),CF_008,(Cash flow) Corporate income tax paid,CF_040
- Tiền thu khác từ hoạt động kinh doanh,CF_016,Tăng/giảm các khoản phải trả khác,CF_050,,,(Cash flow) (Bank) Other cash receipts from business activities,CF_041
- Tiền chi khác cho hoạt động kinh doanh,CF_017,,,,,(Cash flow) (Bank) Other cash payments for business activities,CF_042
Lưu chuyển tiền thuần từ hoạt động kinh doanh,CF_020,Lưu chuyển tiền thuần từ hoạt động kinh doanh,CF_060,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,CF_024,(Cash flow) Net cash flow from operating activities,CF_050
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",CF_021,Tiền mua tài sản cố định và các tài sản dài hạn khác,CF_061,1. Mua sắm tài sản cố định(*),CF_025,"(Cash flow) Cash outflows for purchase, construction of fixed assets and other long-term assets",CF_051
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",CF_022,Tiền thu được từ thanh lý tài sản cố định,CF_062,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",CF_026,(Cash flow) Cash inflows from disposal of fixed assets and other long-term assets,CF_052
,,,,"3. Tiền chi từ thanh lý, nhượng bán TSCĐ(*)",CF_027,"(Cash flow) Cash paid for liquidation, sale of fixed assets",CF_053
,,,,4. Mua sắm bất động sản đầu tư(*),CF_028,(Cash flow) Purchase of investment property,CF_054
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",CF_023,,,,,"(Cash flow) Cash outflows for loans, purchasing debt instruments of other entities",CF_055
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",CF_024,,,,,"(Cash flow) Cash inflows from recovering loans, reselling debt instruments of other entities",CF_056
,,,,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",CF_029,"(Cash flow) (Bank) Cash received from sale, liquidation of investment property",CF_057
,,,,"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư (*)",CF_030,"(Cash flow) (Bank) Cash paid for sale, liquidation of investment property",CF_058
5.Tiền chi đầu tư góp vốn vào đơn vị khác,CF_025,,,"7. Tiền chi đầu t­ư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác) (*)",CF_031,(Cash flow) Cash outflows for capital investments in other entities,CF_059
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,CF_026,,,"8. Tiền thu đầu t­ư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",CF_032,(Cash flow) Cash inflows from recovering capital investments in other entities,CF_060
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",CF_027,,,"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",CF_033,"(Cash flow) Cash receipts from interest, dividends, and profit sharing",CF_061
Lưu chuyển tiền thuần từ hoạt động đầu tư,CF_030,Lưu chuyển tiền thuần từ hoạt động đầu tư,CF_070,II. Lưu chuyển tiền thuần từ hoạt động đầu tư,CF_034,(Cash flow) Net cash flow from investing activities,CF_070
,,,,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,CF_035,(Cash flow) (Bank) Increase in share capital from contributions and/or issuance of shares,CF_071
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",CF_031,,,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,CF_036,"(Cash flow) Cash inflows from issuing shares, receiving capital contributions from owners",CF_072
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",CF_032,,,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác(*),CF_037,"(Cash flow) Cash outflows for repaying capital to owners, buying back issued shares",CF_073
,,Tiền vay gốc,CF_073,,,(Cash flow) (Securities) Loan principal received,CF_074
3.Tiền thu từ đi vay,CF_033,,,,,(Cash flow) Cash inflows from borrowing,CF_075
4.Tiền chi trả nợ gốc vay,CF_034,Tiền chi trả nợ gốc vay,CF_074,,,(Cash flow) Cash outflows for principal debt repayment,CF_076
5.Tiền chi trả nợ gốc thuê tài chính,CF_035,,,,,(Cash flow) Cash outflows for principal payments on finance leases,CF_077
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",CF_036,,,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia(*)",CF_038,"(Cash flow) Dividends, profits paid to owners",CF_078
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,CF_037,,,,,(Cash flow) Cash inflows from non-controlling interests' capital contributions,CF_079
,,,,5. Tiền chi ra mua cổ phiếu quỹ (*),CF_039,(Cash flow) (Bank) Cash paid for repurchase of treasury shares,CF_080
,,,,6. Tiền thu được do bán cổ phiếu quỹ,CF_040,(Cash flow) (Bank) Proceeds from the sale of treasury shares,CF_081
Lưu chuyển tiền thuần từ hoạt động tài chính,CF_040,Lưu chuyển tiền tệ từ hoạt động tài chính,CF_080,III.Lưu chuyển tiền thuần từ hoạt động tài chính,CF_041,(Cash flow) Net cash flow from financing activities,CF_090
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),CF_050,LƯU CHUYỂN TIỀN THUẦN TRONG KỲ,CF_090,IV.Lưu chuyển tiền thuần trong kỳ,CF_042,(Cash flow) Net cash flow during the period,CF_100
Tiền và tương đương tiền đầu kỳ,CF_060,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN ĐẦU KỲ,CF_101,V. Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,CF_043,(Cash flow) Cash and cash equivalents at the beginning of the period,CF_110
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,CF_061,,,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá,CF_044,(Cash flow) Effects of exchange rate changes on foreign currency conversion,CF_120
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),CF_070,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI KỲ,CF_103,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,CF_045,(Cash flow) Cash and cash equivalents at the end of the period,CF_130
